Time(s), V(V),Encoder,ADC
3.695,-9.8194,-1667,15
3.7,-9.7098,-1652,15
3.705,-9.5978,-1636,15
3.71,-9.4835,-1621,15
3.715,-9.3669,-1605,15
3.72,-9.2479,-1590,15
3.725,-9.1266,-1574,15
3.73,-9.0031,-1559,15
3.735,-8.8774,-1543,15
3.74,-8.7495,-1528,15
3.745,-8.6194,-1513,15
3.75,-8.4872,-1497,15
3.755,-8.3529,-1482,15
3.76,-8.2165,-1466,15
3.765,-8.0782,-1451,15
3.77,-7.9378,-1435,15
3.775,-7.7955,-1420,15
3.78,-7.6512,-1405,15
3.785,-7.505,-1389,15
3.79,-7.357,-1374,15
3.795,-7.2072,-1359,15
3.8,-7.0556,-1343,15
3.805,-6.9023,-1328,15
3.81,-6.7473,-1313,24
3.815,-6.5906,-1297,24
3.82,-6.4322,-1282,24
3.825,-6.2723,-1267,24
3.83,-6.1109,-1252,15
3.835,-5.9479,-1236,15
3.84,-5.7834,-1221,15
3.845,-5.6176,-1206,17
3.85,-5.4503,-1191,17
3.855,-5.2817,-1176,17
3.86,-5.1118,-1161,17
3.865,-4.9407,-1146,24
3.87,-4.7683,-1131,24
3.875,-4.5947,-1116,24
3.88,-4.4201,-1101,15
3.885,-4.2443,-1086,15
3.89,-4.0674,-1071,15
3.895,-3.8896,-1056,15
3.9,-3.7108,-1041,24
3.905,-3.5311,-1026,24
3.91,-3.3505,-1011,24
3.915,-3.1691,-997,15
3.92,-2.987,-982,15
3.925,-2.804,-967,15
3.93,-2.6204,-953,15
3.935,-2.4362,-938,15
3.94,-2.2513,-923,15
3.945,-2.0659,-909,15
3.95,-1.88,-894,15
3.955,-1.6936,-880,15
3.96,-1.5068,-865,15
3.965,-1.3196,-851,15
3.97,-1.1321,-837,15
3.975,-0.94428,-823,15
3.98,-0.75626,-809,15
3.985,-0.56805,-795,15
3.99,-0.3797,-780,14
3.995,-0.19128,-766,14
4,-0.0027882,-753,14
4.005,0.18569,-739,1
4.01,0.37413,-725,1
4.015,0.56248,-711,1
4.02,0.75069,-697,1
4.025,0.93872,-684,-79
4.03,1.1265,-670,-79
4.035,1.314,-657,-79
4.04,1.5012,-644,-127
4.045,1.688,-631,-127
4.05,1.8744,-618,-127
4.055,2.0604,-606,-127
4.06,2.2458,-593,-176
4.065,2.4307,-581,-176
